run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
-44.773094,-50.467045,-36.832996,-40.654358,-46.493607,-50.262516,-44.918976,-50.366882,-36.515793,-51.240845
nan,-49.789787,-36.124718,-32.57193,-35.021618,-53.38039,-38.987083,-51.23346,-33.74212,-52.21921
nan,-49.93544,-35.98409,-32.190193,-33.893658,-53.35828,-36.815372,-36.2316,-32.332623,-53.19857
nan,-50.066395,-36.128597,-31.574684,-33.839264,-53.241646,-35.51111,-36.184998,-32.21858,-53.1839
nan,-50.358402,-36.11846,-31.917894,-33.420345,-53.308945,-33.480335,-36.20156,-30.323288,-53.17349
nan,-50.053307,-36.12379,-31.22441,-33.33059,-53.332897,-35.5058,-36.17675,-30.639462,-53.21033
nan,-50.072906,-35.91301,-30.905954,-33.207672,-53.074993,-31.424265,-36.134796,-29.951925,-53.159813
nan,-49.89569,-35.939476,-30.738016,-32.834244,-50.787422,-31.134989,-36.048813,-29.688684,-52.937122
nan,-49.417736,-35.27369,-30.822636,-32.22773,-52.945747,-30.226183,-35.590214,-29.65371,-52.95942
nan,-48.76525,-32.820877,-30.92987,-32.34472,-53.428036,-30.101048,-33.433117,-29.40231,-52.95149
nan,-49.404438,-34.228184,-29.987093,-32.26266,-53.436733,-30.263395,-30.059208,-29.85421,-52.75226
nan,-49.29909,-35.20176,-29.678968,-32.102734,-53.43647,-30.607117,-29.763348,-30.61483,-50.735065
nan,-49.686806,-35.692337,-29.794125,-31.914227,-53.423172,-29.65228,-29.800808,-30.112339,-51.088566
nan,-49.80054,-35.110428,-29.504047,-31.635609,-53.415398,-29.668058,-32.07349,-30.310055,-50.034008
nan,-49.95236,-34.657608,-29.625813,-31.59812,-53.41228,-29.85941,-29.799774,-29.282713,-47.266438
nan,-49.788204,-32.818798,-29.296473,-31.542063,-53.448822,-29.400333,-29.688364,-29.017675,-44.152985
nan,-50.196766,-31.512117,-31.270403,-31.38355,-53.417904,-29.847979,-29.636948,-29.023235,-40.589695
nan,-49.947712,-30.04662,-30.520903,-31.224266,-53.417645,-29.356861,-29.960163,-29.229462,-39.47095
nan,-49.906025,-29.826872,-29.357695,-31.18214,-53.43367,-29.528488,-29.45014,-29.068167,-38.474586
nan,-49.727844,-30.07684,-29.275246,-31.012283,-53.441696,-29.7038,-29.398415,-28.989237,-38.012543
nan,-49.23966,-29.479462,-29.416794,-30.973417,-53.4404,-29.17329,-29.364859,-29.742086,-38.06399
