run0,run1,run2,run3,run4
-58.29678,-67.91891,-64.83815,-66.190155,-55.347557
nan,-63.22338,-64.44149,-66.22137,-57.21061
nan,-69.967094,-64.681694,-68.84064,-53.39971
nan,-67.6914,-64.22158,-68.09094,-52.107063
nan,-68.766365,-64.57388,-66.913376,-50.474545
nan,-67.65634,-64.61208,-55.180126,-49.47025
nan,-67.91453,-65.032906,-50.281975,-47.804577
nan,-67.545685,-65.24666,-48.747242,-48.786694
nan,-67.47852,-65.01271,-46.39343,-47.72336
nan,-67.3883,-65.22948,-45.06443,-46.09666
nan,-67.41031,-65.609665,-44.990173,-44.23524
nan,-67.2316,-65.7401,-44.789368,-43.335827
nan,-67.09214,-65.8124,-43.5742,-42.785313
nan,-66.874825,-65.778595,-42.485264,-42.308144
nan,-64.41118,-65.75883,-41.91962,-41.99293
nan,-62.746983,-65.747406,-41.879414,-41.602966
nan,-62.1136,-65.70517,-41.700054,-41.566055
nan,-62.327026,-65.6481,-41.63524,-41.512184
nan,-61.55962,-65.668625,-41.38091,-41.415405
nan,-60.847805,-65.818306,-41.32237,-41.3159
nan,-60.84168,-65.562,-41.189163,-41.304073
nan,-60.889744,-65.53942,-41.047565,-41.293385
nan,-60.441406,-65.61457,-41.034946,-41.12763
nan,-60.761196,-65.429436,-40.988686,-41.110085
nan,-60.91696,-65.313545,-40.973995,-41.09438
nan,-61.013035,-65.41293,-40.907272,-40.975254
nan,-60.886658,-65.17672,-40.87503,-40.920025
nan,-60.399258,-65.38948,-40.861195,-40.88354
nan,-61.391647,-65.41187,-40.835594,-40.89764
nan,-61.813694,-65.611534,-40.83531,-40.7865
nan,-61.609203,-65.412674,-40.832977,-40.852463
nan,-61.7024,-65.46523,-40.771954,-40.860695
nan,-61.519596,-65.40894,-40.788574,-40.831577
nan,-61.39026,-65.161156,-40.767853,-40.831856
nan,-61.14955,-65.12775,-40.801506,-40.806328
nan,-61.21761,-64.878006,-40.788017,-40.793354
nan,-61.184204,-64.98775,-40.780876,-40.771984
nan,-60.98744,-65.04317,-40.72763,-40.745842
nan,-60.939816,-65.054,-40.759743,-40.721992
nan,-60.810856,-65.141975,-40.72033,-40.73893
nan,-60.87002,-65.19695,-40.736988,-40.744743
nan,-60.87464,-65.11374,-40.686478,-40.74778
nan,-60.83153,-65.103615,-40.7305,-40.732708
nan,-60.62685,-65.23007,-40.72095,-40.736847
nan,-60.614647,-65.36946,-40.723404,-40.708866
nan,-60.700085,-65.10108,-40.69762,-40.71784
nan,-60.704113,-65.081955,-40.714104,-40.7318
nan,-60.804867,-64.86988,-40.6731,-40.705387
nan,-61.037018,-64.99605,-40.71345,-40.714096
nan,-61.021877,-65.041405,-40.708588,-40.747528
nan,-61.246185,-64.91489,-40.71588,-40.746384
nan,-61.087547,-65.057526,-40.649746,-40.69429
nan,-60.696186,-65.0813,-40.704784,-40.712593
nan,-60.616314,-64.663124,-40.6308,-40.69913
nan,-60.19515,-64.77896,-40.687027,-40.64656
nan,-59.339222,-64.6095,-40.720676,-40.685684
nan,-60.35045,-64.700485,-40.663483,-40.72282
nan,-60.295376,-64.40645,-40.64825,-40.698982
nan,-60.2876,-64.37378,-40.729805,-40.70437
nan,-60.231647,-64.285324,-40.709568,-40.705822
nan,-60.315197,-64.405075,-40.73228,-40.67809
nan,-60.360332,-64.48466,-40.659237,-40.69562
nan,-60.32527,-64.65383,-40.669647,-40.683372
nan,-60.292107,-64.67508,-40.71278,-40.699516
nan,-60.37564,-64.68334,-40.68578,-40.68617
nan,-60.396954,-64.64006,-40.690483,-40.674957
nan,-60.32363,-64.50653,-40.705696,-40.667484
nan,-60.228554,-64.768555,-40.708336,-40.66732
nan,-60.473743,-64.71772,-40.68605,-40.69539
nan,-60.777294,-64.68338,-40.659046,-40.641273
nan,-61.002758,-64.79103,-40.671272,-40.66578
nan,-60.968212,-64.87558,-40.66595,-40.67532
nan,-60.718155,-64.68552,-40.670624,-40.691273
nan,-60.525158,-64.79697,-40.653923,-40.68821
nan,-60.472134,-64.53185,-40.678207,-40.69793
nan,-60.484608,-64.23372,-40.672905,-40.6414
nan,-60.628853,-64.31366,-40.679173,-40.63519
nan,-60.467857,-64.13675,-40.662086,-40.68686
nan,-60.560062,-64.26572,-40.673733,-40.685883
nan,-60.52708,-64.4159,-40.68998,-40.650867
nan,-60.594635,-64.554726,-40.692024,-40.69332
nan,-60.935883,-64.7788,-40.66465,-40.65285
nan,-60.856728,-64.59624,-40.666267,-40.70548
nan,-61.21063,-64.54495,-40.681202,-40.6458
nan,-61.335087,-64.46289,-40.66498,-40.70056
nan,-61.609234,-64.34242,-40.694466,-40.677826
nan,-61.66752,-64.22138,-40.683334,-40.668224
nan,-61.512146,-63.933834,-40.625515,-40.679977
nan,-61.198715,-64.07579,-40.635696,-40.63577
nan,-61.089954,-64.0018,-40.680912,-40.625973
nan,-61.074806,-64.01471,-40.653896,-40.671402
nan,-61.041977,-64.036804,-40.71046,-40.63693
nan,-61.112633,-63.86108,-40.675064,-40.666656
nan,-61.161583,-63.69553,-40.710915,-40.670296
nan,-60.92518,-63.53478,-40.679226,-40.67176
nan,-60.712746,-63.463585,-40.69441,-40.66736
nan,-60.51667,-63.62585,-40.65097,-40.699196
nan,-60.260746,-63.60353,-40.709232,-40.65741
nan,-60.072296,-63.69334,-40.720627,-40.68224
nan,-60.00727,-63.725273,-40.693462,-40.67325
