run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
-64.435356,-59.345955,-55.32246,-59.747066,-56.795647,-70.36681,-71.04981,-64.435356,-70.66867,-66.71058
nan,-59.171173,-51.111874,-61.31848,-51.797398,-59.759136,-71.06435,nan,nan,-68.79613
nan,-59.17732,-49.43956,-61.89035,-48.622696,-66.420555,-71.08006,nan,nan,-70.67064
nan,-59.1605,-47.657597,-59.06351,-48.646767,-68.884636,-71.07811,nan,nan,-68.2688
nan,-59.173687,-47.52893,-59.70968,-47.828846,-60.83486,-71.07326,nan,nan,-67.43002
nan,-59.163506,-46.89369,-58.640366,-47.258945,-49.51215,-71.06873,nan,nan,-66.048935
nan,-59.173286,-46.39316,-57.55697,-47.381218,-49.058727,-71.05136,nan,nan,-67.54537
nan,-59.15691,-45.84938,-57.501453,-46.707752,-48.62894,-71.06147,nan,nan,-69.72026
nan,-59.16634,-45.516697,-57.533844,-46.965782,-48.46336,-71.06776,nan,nan,-66.76203
nan,-59.149033,-45.49998,-59.078094,-46.769024,-48.201233,-71.07033,nan,nan,-66.116844
nan,-59.141323,-45.439007,-58.234463,-47.087795,-48.428936,-71.073135,nan,nan,-65.192604
nan,-59.135883,-45.487522,-56.842453,-47.283554,-48.05109,-71.066376,nan,nan,-64.90655
nan,-59.160492,-45.41675,-55.817314,-47.178993,-48.063828,-71.06259,nan,nan,-65.19256
nan,-59.159046,-45.455563,-55.536594,-47.14292,-47.842262,-71.06653,nan,nan,-65.401
nan,-59.12857,-45.36836,-54.951305,-46.86489,-47.764343,-71.06226,nan,nan,-65.824875
nan,-59.14351,-45.35436,-54.71035,-46.81127,-47.699467,-71.07549,nan,nan,-65.81887
nan,-59.15586,-45.313305,-53.874092,-46.396805,-47.656757,-71.07161,nan,nan,-65.10462
nan,-59.153126,-45.298065,-53.47721,-46.28736,-47.220287,-71.07779,nan,nan,-64.85827
nan,-59.150158,-45.268913,-52.944317,-46.04652,-47.20758,-71.07158,nan,nan,-64.3248
nan,-59.146824,-45.18142,-52.968525,-45.857906,-46.902187,-71.0673,nan,nan,-64.05849
nan,-59.169556,-45.1602,-51.54238,-45.577374,-46.83982,-71.07822,nan,nan,-64.09068
nan,-59.168854,-45.15487,-50.578285,-45.590393,-46.67554,-71.06135,nan,nan,-63.87333
nan,-59.1586,-45.132053,-50.49201,-45.50876,-46.581516,-71.06764,nan,nan,-63.889217
nan,-59.150608,-45.08918,-49.49582,-45.36835,-46.332203,-71.06464,nan,nan,-63.2552
nan,-59.148808,-45.09631,-48.910694,-45.400238,-46.22835,-71.06343,nan,nan,-63.094734
nan,-59.140743,-45.07094,-48.308807,-45.375008,-46.12536,-71.0695,nan,nan,-62.912586
nan,-59.15815,-45.059666,-48.035065,-45.42732,-46.00801,-71.06904,nan,nan,-62.523712
nan,-59.168552,-44.999924,-48.201973,-45.388367,-45.978836,-71.06516,nan,nan,-62.725754
nan,-59.1383,-44.9871,-48.38645,-45.435917,-45.92914,-71.067894,nan,nan,-62.954414
nan,-59.142197,-44.95721,-48.597496,-45.3209,-45.852985,-71.05291,nan,nan,-62.81587
nan,-59.148796,-44.953697,-48.560368,-45.38276,-45.802135,-71.0736,nan,nan,-62.339775
nan,-59.14315,-44.927155,-48.53371,-45.37403,-45.782825,-71.061295,nan,nan,-62.06737
nan,-59.15335,-44.917732,-48.20065,-45.296124,-45.758533,-71.0577,nan,nan,-61.94788
nan,-59.162823,-44.920074,-47.852146,-45.236126,-45.738297,-71.051605,nan,nan,-61.92444
nan,-59.145897,-44.868256,-47.682476,-45.3624,-45.635666,-71.03152,nan,nan,-61.467514
nan,-59.140408,-44.865665,-47.79782,-45.209587,-45.651985,-71.05028,nan,nan,-61.22979
nan,-59.15455,-44.88818,-47.662003,-45.202095,-45.546837,-71.06858,nan,nan,-61.66147
nan,-59.142258,-44.883263,-47.333405,-45.136257,-45.474625,-71.0543,nan,nan,-61.316013
nan,-59.133953,-44.877598,-47.261147,-45.102962,-45.422703,-71.03783,nan,nan,-61.00954
nan,-59.13139,-44.865665,-47.173985,-45.07892,-45.425377,-70.99897,nan,nan,-61.003838
nan,-59.148033,-44.87546,-46.710655,-45.052658,-45.393353,-70.93306,nan,nan,-60.969803
nan,-59.158054,-44.906857,-46.498672,-45.05365,-45.38072,-70.852066,nan,nan,-60.79583
nan,-59.15968,-44.90321,-46.359993,-45.099625,-45.392265,-70.66512,nan,nan,-60.671173
nan,-59.15006,-44.85548,-46.216827,-45.10163,-45.401516,-70.52341,nan,nan,-60.538986
nan,-59.145626,-44.88213,-46.26337,-45.047127,-45.381317,-69.65102,nan,nan,-60.705185
nan,-59.154213,-44.839718,-46.324944,-45.05913,-45.314537,-63.69957,nan,nan,-60.724514
nan,-59.142124,-44.869102,-46.28214,-45.054825,-45.29766,-69.41402,nan,nan,-60.556313
nan,-59.137905,-44.864513,-46.069145,-45.002342,-45.23281,-70.16924,nan,nan,-60.472633
nan,-59.14951,-44.845173,-46.012447,-44.99517,-45.209373,-70.302765,nan,nan,-60.49449
nan,-59.16793,-44.85314,-45.84347,-44.9674,-45.15169,-70.35829,nan,nan,-60.56011
nan,-59.140076,-44.848362,-45.81721,-44.99987,-45.16129,-70.362785,nan,nan,-60.56797
nan,-59.159527,-44.833786,-45.75235,-44.93593,-45.16327,-70.27688,nan,nan,-60.599094
nan,-59.137035,-44.85491,-45.713078,-44.954308,-45.121468,-70.004364,nan,nan,-60.641666
nan,-59.149666,-44.86226,-45.664948,-44.933517,-45.08798,-70.439224,nan,nan,-60.521152
nan,-59.141434,-44.82664,-45.61864,-44.905136,-45.09121,-70.52613,nan,nan,-60.2166
nan,-59.1338,-44.828793,-45.617348,-44.884598,-45.085583,-70.55347,nan,nan,-60.186058
nan,-59.15742,-44.852463,-45.58749,-44.873676,-45.038074,-70.470375,nan,nan,-60.097813
nan,-59.14889,-44.862354,-45.543476,-44.86509,-45.034115,-70.30239,nan,nan,-60.105602
nan,-59.142666,-44.80564,-45.48028,-44.84459,-45.02102,-70.184326,nan,nan,-60.09891
nan,-59.157116,-44.804432,-45.422073,-44.876087,-45.004993,-70.12728,nan,nan,-59.934452
nan,-59.137764,-44.810673,-45.415203,-44.885056,-44.97294,-70.319046,nan,nan,-60.025517
nan,-59.13862,-44.834667,-45.39679,-44.85749,-44.98749,-70.479774,nan,nan,-60.082165
nan,-59.142887,-44.812305,-45.38554,-44.857674,-44.952522,-70.61326,nan,nan,-59.866306
nan,-59.14524,-44.838486,-45.350796,-44.827656,-44.941097,-70.67687,nan,nan,-59.85394
nan,-59.154343,-44.800217,-45.313915,-44.815468,-44.948177,-70.60647,nan,nan,-60.070427
nan,-59.155045,-44.779156,-45.266342,-44.840683,-44.904774,-70.646904,nan,nan,-60.203835
nan,-59.1475,-44.780033,-45.31879,-44.83561,-44.932682,-70.637405,nan,nan,-60.246082
nan,-59.146732,-44.8037,-45.267982,-44.823086,-44.91517,-70.65812,nan,nan,-60.495594
nan,-59.1468,-44.80512,-45.209766,-44.801533,-44.91736,-70.63984,nan,nan,-60.273655
nan,-59.153164,-44.80415,-45.21352,-44.839897,-44.8892,-70.57958,nan,nan,-60.4436
nan,-59.157246,-44.802933,-45.19687,-44.78464,-44.927624,-70.40066,nan,nan,-60.378296
nan,-59.156597,-44.81048,-45.212837,-44.8458,-44.8431,-70.54201,nan,nan,-60.325844
nan,-59.141483,-44.799046,-45.229595,-44.84351,-44.887787,-70.45832,nan,nan,-59.974743
nan,-59.142765,-44.75103,-45.231342,-44.794506,-44.86242,-70.570114,nan,nan,-59.785877
nan,-59.13756,-44.791687,-45.25922,-44.829414,-44.848804,-70.71234,nan,nan,-59.68126
nan,-59.161648,-44.775803,-45.22681,-44.816822,-44.849678,-70.771675,nan,nan,-59.662693
nan,-59.153122,-44.79094,-45.227997,-44.808384,-44.855736,-70.770454,nan,nan,-59.61328
nan,-59.155556,-44.81197,-45.183334,-44.81826,-44.887688,-70.78194,nan,nan,-59.59946
nan,-59.14696,-44.787037,-45.198235,-44.777977,-44.855564,-70.79266,nan,nan,-59.56639
nan,-59.16093,-44.798565,-45.204323,-44.828125,-44.843685,-70.76985,nan,nan,-59.554447
nan,-59.147648,-44.77163,-45.149208,-44.794666,-44.872295,-70.76555,nan,nan,-59.560078
nan,-59.136898,-44.806915,-45.235996,-44.786522,-44.869293,-70.81173,nan,nan,-59.518204
nan,-59.147724,-44.761944,-45.143436,-44.79417,-44.849953,-70.80793,nan,nan,-59.517445
nan,-59.135868,-44.765007,-45.122047,-44.801205,-44.81835,-70.8252,nan,nan,-59.568005
nan,-59.151947,-44.764744,-45.09475,-44.81035,-44.842575,-70.80259,nan,nan,-59.4989
nan,-59.153717,-44.762993,-45.104725,-44.78919,-44.846344,-70.78308,nan,nan,-59.523754
nan,-59.166878,-44.77396,-45.0877,-44.78176,-44.83528,-70.7895,nan,nan,-59.416138
nan,-59.14571,-44.75185,-45.049355,-44.804462,-44.83028,-70.81031,nan,nan,-59.48058
nan,-59.146633,-44.786915,-45.02957,-44.790337,-44.837063,-70.82631,nan,nan,-59.449017
nan,-59.144768,-44.784992,-45.04218,-44.77275,-44.831013,-70.80812,nan,nan,-59.43739
nan,-59.151257,-44.768692,-45.053085,-44.763866,-44.830452,-70.79101,nan,nan,-59.42297
nan,-59.150265,-44.795303,-45.03273,-44.784176,-44.815426,-70.80761,nan,nan,-59.362785
nan,-59.141663,-44.7725,-44.990227,-44.790257,-44.830437,-70.76772,nan,nan,-59.35544
nan,-59.15513,-44.751827,-44.954453,-44.75282,-44.81928,-70.72959,nan,nan,-59.369915
