run0,run1,run2,run3,run4,run5,run6,run7,run8,run9
-73.78333,-59.961212,-79.082,-89.2295,-35.70385,-35.594933,-78.37696,-68.25867,-67.76646,-90.66356
-73.79489,-73.23169,-44.571507,-90.713486,-35.741024,-34.72255,-91.41952,-59.758385,-36.868546,-76.579865
-73.78232,-51.30777,-55.70949,-89.44488,-35.706184,-48.062366,-91.426125,-65.00503,-36.65056,-68.45301
-73.79134,-54.523457,-36.477978,-90.789185,-35.729385,-34.623844,-91.445435,-62.04809,-36.93551,-68.722115
-73.78426,-41.652313,-36.458744,-89.897896,-35.714256,-33.6265,-91.3996,-51.204,-36.67611,-68.41179
-73.79725,-39.15575,-36.45027,-86.3725,-35.74826,-33.21683,-91.29956,-44.444454,-36.55992,-68.42025
-73.790886,-38.35986,-36.438957,-85.37084,-35.732838,-33.20943,-91.40261,-39.64928,-36.47592,-68.39653
-73.785675,-38.13572,-36.38993,-84.47573,-35.746124,-33.229603,-91.40747,-39.83325,-36.39573,-68.41054
-73.79015,-37.230045,-36.322205,-84.05627,-35.702682,-33.2044,-91.436935,-38.987785,-36.33986,-68.42435
-73.80096,-37.034225,-36.336014,-81.20673,-35.76128,-33.18275,-91.44445,-38.38328,-36.32766,-68.41094
-73.790436,-36.802402,-36.28295,-82.96784,-35.745464,-33.45925,-91.454926,-37.168392,-36.361115,-68.40522
-73.79235,-36.723324,-36.31827,-79.977455,-35.58528,-33.360603,-91.46213,-36.887085,-36.234158,-68.38693
-73.79293,-36.635612,-36.273853,-81.125946,-61.595234,-33.406796,-91.46054,-36.87747,-36.231113,-68.412735
-73.7823,-36.565155,-36.254635,-81.08883,-33.3732,-33.22639,-91.456635,-36.892376,-36.162056,-68.404305
-73.78802,-36.40243,-36.228462,-78.84193,-33.450947,-33.380413,-91.47428,-36.65496,-36.06692,-68.40274
-73.780045,-36.346195,-36.217903,-77.96502,-35.528664,-33.363453,-91.45342,-36.54592,-36.04742,-68.43256
-73.80617,-36.14219,-36.1605,-78.29086,-33.92207,-33.195305,-91.4426,-36.414555,-36.026176,-68.4145
-73.79237,-36.02245,-36.174545,-78.70576,-37.585415,-33.366055,-91.41256,-36.391567,-36.000942,-68.39963
-73.784836,-35.947636,-36.121334,-78.651535,-35.764988,-33.265305,-91.449524,-36.297623,-35.992508,-68.4082
-73.79088,-35.862457,-36.130413,-77.86672,-35.73319,-33.204613,-91.45767,-36.369537,-35.983234,-68.38867
-73.79172,-35.4885,-36.090946,-77.65984,-35.738705,-34.325188,-91.45596,-36.317577,-35.945812,-68.40493
-73.805756,-35.33242,-36.063107,-77.336075,-35.724968,-34.892807,-91.461235,-36.157227,-35.88305,-68.3985
-73.78811,-34.50471,-36.018566,-77.09597,-35.711987,-33.487312,-91.45165,-36.07738,-35.925354,-68.393196
-73.79219,-34.32693,-35.96422,-76.36069,-35.750977,-33.50151,-91.45151,-36.020576,-35.94832,-68.402016
-73.79771,-34.333843,-35.946243,-76.57511,-35.78305,-33.204185,-91.45456,-36.0625,-35.892624,-68.391815
-73.790985,-34.263226,-35.950947,-76.237595,-35.711124,-33.12015,-91.419846,-36.03204,-35.918148,-68.38478
-73.79726,-34.497612,-35.965343,-76.18677,-35.725407,-33.10584,-91.45716,-35.974705,-35.868797,-68.38259
-73.77847,-34.15198,-35.919704,-75.64689,-35.714016,-33.188656,-91.46135,-35.995342,-35.871403,-68.36833
-73.79389,-34.02505,-35.889603,-75.83067,-35.764217,-33.21659,-91.447716,-35.920837,-35.86249,-68.386665
-73.79297,-33.959,-35.883007,-75.30223,-35.71251,-33.380116,-91.43698,-35.916126,-35.868046,-68.38096
-73.80035,-34.03526,-35.847916,-73.864876,-35.775322,-33.352444,-91.487076,-35.868336,-35.815327,-68.38397
-73.78937,-34.32747,-35.830334,-70.047424,-35.74824,-33.69547,-91.47475,-35.89632,-35.861153,-68.39175
-73.78923,-35.076935,-35.79021,-67.75522,-35.714005,-33.364796,-91.47552,-35.878387,-35.813328,-68.36747
-73.799,-33.696934,-35.810635,-67.772255,-35.758568,-34.79094,-91.47277,-35.887695,-35.836094,-68.385185
-73.78545,-33.675323,-35.786037,-68.40045,-35.733547,-35.667103,-91.47145,-35.86574,-35.79761,-68.363754
-73.794914,-33.654266,-35.745274,-68.14677,-35.720722,-35.604145,-91.47914,-35.842922,-35.779118,-68.365906
-73.79211,-33.588844,-35.593483,-68.76966,-35.75429,-35.62324,-91.464424,-35.8621,-35.78658,-68.3931
-73.80214,-33.72602,-35.639317,-69.481346,-35.73255,-35.560104,-91.48512,-35.888275,-35.812664,-68.36501
-73.782646,-34.19497,-35.686707,-69.030685,-35.711025,-35.330227,-91.475,-35.881886,-35.78731,-68.35
-73.804565,-34.18892,-35.67497,-69.16006,-35.728386,-34.15508,-91.47646,-35.82084,-35.80785,-68.36574
-73.78556,-35.433887,-35.644043,-68.93686,-35.748817,-33.989365,-91.468376,-35.859604,-35.809483,-68.36122
-73.78022,-34.530155,-35.61622,-68.51559,-35.742767,-34.38535,-91.47176,-35.833767,-35.780376,-68.36126
-73.799934,-33.72489,-35.685966,-68.408005,-35.746006,-33.402626,-91.479485,-35.823326,-35.806732,-68.36664
-73.78415,-34.55072,-35.624714,-67.43253,-35.718132,-34.499027,-91.48363,-35.866558,-35.77753,-68.35776
-73.79989,-33.805836,-35.46076,-68.11206,-35.69297,-34.143204,-91.47287,-35.82908,-35.80048,-68.35937
-73.78431,-34.164963,-35.334866,-68.478065,-35.724552,-35.465904,-91.46947,-35.80208,-35.760803,-68.35992
-73.79439,-33.758026,-33.88589,-68.49689,-35.70464,-34.81605,-91.47701,-35.784435,-35.720757,-68.37151
-73.79054,-33.6287,-35.6037,-68.48078,-35.712982,-33.822216,-91.482956,-35.765064,-35.74923,-68.37553
-73.799225,-33.66728,-35.52184,-68.07006,-35.724133,-33.298424,-91.49172,-35.788013,-35.763767,-68.394455
-73.77745,-33.740456,-34.98614,-67.67016,-35.7495,-33.294468,-91.47979,-35.7919,-35.783165,-68.355835
-73.77855,-33.91623,-34.63447,-67.59789,-35.718437,-33.285397,-91.47658,-35.761707,-35.79925,-68.36194
-73.793175,-33.726284,-35.54397,-68.18686,-35.726765,-33.20187,-91.49083,-35.8228,-35.727577,-68.35453
-73.80287,-34.673775,-35.495487,-68.90724,-35.720757,-33.152367,-91.48515,-35.758137,-35.770283,-68.384514
-73.786865,-35.42101,-35.476204,-68.83568,-35.719666,-33.326157,-91.481834,-35.762398,-35.72519,-68.37146
-73.79836,-34.49307,-34.834446,-69.24797,-35.641182,-34.74207,-91.46611,-35.79561,-35.750134,-68.35259
-73.799736,-33.6559,-36.347157,-69.360725,-34.91764,-36.477448,-91.47248,-35.762688,-35.75611,-68.37381
-73.80229,-33.719322,-35.57772,-68.83586,-45.553043,-35.39541,-91.48098,-35.800358,-35.738297,-68.37421
-73.79249,-33.916306,-35.569004,-68.36364,-35.67567,-33.652485,-91.478195,-35.761765,-35.77315,-68.33445
-73.78864,-33.724125,-35.558685,-68.69776,-35.645195,-34.232765,-91.49028,-35.793053,-35.78276,-68.369095
-73.79255,-33.75209,-35.54774,-68.85422,-35.679337,-35.409153,-91.489456,-35.785946,-35.779892,-68.37683
-73.79889,-33.679836,-35.497215,-67.97485,-35.622124,-34.228992,-91.47862,-35.733997,-35.7627,-68.36405
-73.788765,-34.10667,-35.477734,-67.32478,-35.57972,-33.384342,-91.48139,-35.762493,-35.729263,-68.3657
-73.78803,-35.134266,-35.49124,-67.45261,-35.392563,-33.58116,-91.478096,-35.775345,-35.741764,-68.37667
-73.79145,-34.75439,-35.519962,-67.92374,-35.204937,-33.352375,-91.481514,-35.74229,-35.721664,-68.37771
-73.79428,-33.68179,-35.35315,-68.299065,-35.121525,-33.242046,-91.47395,-35.78911,-35.755463,-68.36625
-73.78046,-33.990837,-33.87137,-67.681404,-34.506767,-33.480453,-91.47816,-35.760937,-35.739815,-68.37658
-73.77433,-35.306248,-34.746056,-67.35587,-33.22906,-33.87061,-91.47327,-35.76807,-35.763016,-68.340416
-73.78746,-35.65613,-35.306103,-67.57728,-33.151917,-33.482445,-91.48004,-35.77764,-35.71621,-68.37336
-73.787636,-35.623226,-33.68925,-67.4158,-33.20193,-33.294094,-91.47673,-35.718643,-35.779663,-68.35374
-73.788765,-35.537994,-34.51511,-67.83631,-33.153893,-33.48272,-91.47908,-35.711163,-35.75667,-68.368454
-73.78237,-35.590176,-35.52732,-67.475876,-33.18289,-34.04954,-91.48635,-35.745945,-35.728043,-68.351456
-73.78781,-35.519146,-35.436203,-67.69624,-33.169815,-33.307434,-91.481514,-35.74442,-35.73154,-68.35973
-73.79027,-35.494923,-34.22766,-67.46255,-33.13446,-33.718613,-91.47964,-35.778374,-35.741882,-68.3493
-73.78642,-35.442265,-33.490665,-66.50619,-33.262123,-33.91522,-91.47653,-35.774227,-35.787376,-68.358215
-73.77926,-34.086575,-33.362255,-66.61459,-33.328056,-35.341423,-91.471,-35.742958,-35.7536,-68.36895
-73.805466,-35.02325,-33.352844,-66.4323,-33.153366,-35.126514,-91.48787,-35.76252,-35.71265,-68.3604
-73.78848,-35.467564,-33.421684,-66.486374,-33.158226,-33.71982,-91.472404,-35.76754,-35.723385,-68.36299
-73.79862,-35.318737,-33.727543,-66.31685,-33.14854,-33.392174,-91.49823,-35.748,-35.742466,-68.36598
-73.78093,-34.77634,-35.233383,-66.23546,-33.35446,-33.28387,-91.4811,-35.750797,-35.722336,-68.369225
-73.80182,-33.673054,-33.3639,-66.25572,-33.53427,-33.31346,-91.47926,-35.74838,-35.74772,-68.36956
-73.797844,-33.69699,-33.41475,-65.69813,-33.88171,-33.500885,-91.47339,-35.73431,-35.73177,-68.353516
-73.78938,-33.76546,-33.4674,-65.44964,-34.901203,-33.882694,-91.484566,-35.724426,-35.741703,-68.34605
-73.79686,-33.908882,-34.2572,-65.01828,-33.58836,-33.70384,-91.477684,-35.7377,-35.758675,-68.368515
-73.79755,-33.856094,-35.5498,-64.91595,-33.36372,-34.282703,-91.47262,-35.722492,-35.746952,-68.36643
-73.79805,-34.02264,-34.532887,-65.18758,-33.387028,-33.099594,-91.48216,-35.75507,-35.76517,-68.36211
-73.80447,-34.72104,-33.475014,-64.853264,-33.961227,-33.443584,-91.478874,-35.74683,-35.76567,-68.36738
-73.799904,-35.18294,-33.26299,-64.62682,-33.515682,-33.16832,-91.48849,-35.746147,-35.763165,-68.35867
-73.79342,-35.1182,-33.229187,-64.007835,-34.73227,-34.087765,-91.47234,-35.742115,-35.718838,-68.378525
-73.79536,-33.845936,-33.30261,-64.08764,-33.949806,-35.04747,-91.49567,-35.765976,-35.7138,-68.34728
-73.794685,-33.67954,-33.231842,-64.24998,-34.250515,-35.152462,-91.47667,-35.75506,-35.737343,-68.34302
-73.79331,-33.820007,-33.265747,-64.12122,-33.440353,-34.38967,-91.48755,-35.722847,-35.726406,-68.35259
-73.791435,-33.715492,-33.565502,-63.988342,-33.49193,-35.23173,-91.48739,-35.74246,-35.720825,-68.36436
-73.77587,-33.911835,-34.40959,-63.389156,-33.45774,-34.904514,-91.47604,-35.726692,-35.7498,-68.36674
-73.779,-34.73231,-35.413548,-63.22839,-33.3878,-33.61881,-91.47491,-35.7355,-35.725132,-68.354065
-73.79519,-36.32368,-35.5229,-63.030113,-33.647903,-34.07322,-91.48418,-35.711277,-35.765095,-68.36478
-73.77773,-35.638775,-35.498077,-63.37382,-34.65932,-33.292255,-91.48749,-35.74447,-35.74541,-68.364716
-73.78195,-35.622173,-35.329556,-63.157394,-33.41495,-33.299046,-91.48853,-35.742523,-35.7302,-68.35258
-73.77361,-35.61805,-33.232433,-63.516876,-33.76461,-33.232048,-91.473946,-35.726036,-35.73044,-68.35982
-73.7763,-35.56481,-33.92927,-63.11343,-34.605064,-33.226917,-91.48695,-35.72819,-35.754322,-68.36541
-73.79022,-35.604786,-35.450687,-63.2164,-34.890945,-33.12506,-91.47882,-35.73649,-35.739117,-68.36331
